id_produit,ean,nom,url_image,taxonomie_niveau_1,taxonomie_niveau_2,taxonomie_niveau_3,taxonomie_niveau_4,tva
54a56314-c3dd-5d00-8cd7-24d80daa7efe,3760000000260,WHISKY 40%,https://picsum.photos/seed/whisky-25/640/480,ALIMENTAIRE,BOISSONS,ALCOOLS,SPIRITUEUX,20
1dec70a7-0dd9-5f46-8e31-579467e387b4,3760000000277,DOLIPRANE 1 G,https://picsum.photos/seed/detergent-26/640/480,SANTE,MEDICAMENTS,ANTALGIQUES,PARACETAMOL,2.1
9de02ed7-7886-50af-bdde-fa59e59d4f8f,03760000000284,PAMPERS T4 30U,https://picsum.photos/seed/diapers-27/640/480,NON ALIMENTAIRE,BEBE,COUCHES,TAILLE 4,20
2252b042-f4e2-5278-83c4-9ca2e30c27f2,3760000000291,CAFE MOULU ARABICA 250G,https://picsum.photos/seed/coffee-28/640/480,ALIMENTAIRE,EPICERIE SUCREE,CAFE THE,CAFE MOULU,2.1
90ce3531-e841-5fee-94fa-7cc2687b9846,13760000000304,LESSIVE LIQ 2L,https://cdn.store.example/missing/90ce3531-e841-5fee-94fa-7cc2687b9846.jpg,NON ALIMENTAIRE,ENTRETIEN,LESSIVE,LIQUIDE,20
1b89eacd-db7d-5374-85f6-b5bd4c5ac50c,,POM B 1K C1 FORMAT ECO,https://picsum.photos/seed/apple-30/640/480,ALIMENTAIRE,FRUITS ET LEGUMES,FRUITS,POMMES,5.5
1a248671-bf3b-562f-afe3-e117a48e574e,3760000000321,TOM GRAPPE VRAC FR,https://picsum.photos/seed/tomato-31/640/480,ALIMENTAIRE,FRUITS ET LEGUMES,LEGUMES,TOMATES,5.5
c27794e6-e134-530d-b11d-215634d2b1d5,00013760000000335,NUTELLA 750 G,https://picsum.photos/seed/hazelnut-spread-32/640/480,ALIMENTAIRE,EPICERIE SUCREE,PATES A TARTINER,NOISETTE CACAO,5.5
84295060-2dac-59f2-bb24-7f508a977573,3760000000345,COCA Z S/SUCRE 1L,https://picsum.photos/seed/cola-33/640/480,ALIMENTAIRE,,,,5.5
b9376811-bbbb-5b8f-ad1c-6741d9f887f8,20000356,CR FR 20CL 30%,https://picsum.photos/seed/cream-34/640/480,ALIMENTAIRE,PRODUITS FRAIS,CREMERIE,CREMES,5.5
4a4a0cec-7006-5873-9301-b7d77c9a50f4,3760000000369,WHISKY 40 70CL,,ALIMENTAIRE,BOISSONS,ALCOOLS,SPIRITUEUX,20
64a3f730-fbd6-5256-ada2-fadf0a362a93,20000370,PARACETAMOL 1000 DOLI,https://picsum.photos/seed/detergent-36/640/480,SANTE,MEDICAMENTS,ANTALGIQUES,PARACETAMOL,2.1
9462e4a0-12fb-563a-ab06-80eb875e7b7d,3760000000383,PAMPERS BABY DRY 4,https://picsum.photos/seed/diapers-37/640/480,NON ALIMENTAIRE,ENTRETIEN,LESSIVE,LIQUIDE,20
485264cb-e777-5d7b-a35b-60ec56a74a6f,,ARABICA MOULU 0.25KG PROMO,https://picsum.photos/seed/coffee-38/640/480,ALIMENTAIRE,EPICERIE SUCREE,CAFE THE,CAFE MOULU,5.5
a9dde6bb-a4fc-5405-946f-1792cd4b04cf,3760000000406,LESS. LIQUIDE 200CL,https://picsum.photos/seed/detergent-39/640/480,NON ALIMENTAIRE,ENTRETIEN,LESSIVE,LIQUIDE,20
549ff760-95b1-5cfb-a3dc-9eb8e6453e0f,13760000000410,POMMES BIO FR 1KG,https://picsum.photos/seed/apple-40/640/480,ALIMENTAIRE,FRUITS ET LEGUMES,FRUITS,POMMES,5.5
0fbfaea0-4bb6-5254-95d1-1e60e7325853,13760000000427,TOM GRA,https://picsum.photos/seed/tomato-41/640/480,ALIMENTAIRE,FRUITS ET LEGUMES,LEGUMES,TOMATES,5.5
b8b083dd-4b97-5ba2-b7f0-c8d42b100c1a,3760000000437,PAT TAR NUT 0.7,https://picsum.photos/seed/hazelnut-spread-42/640/480,ALIMENTAIRE,EPICERIE SUCREE,PATES A TARTINER,NOISETTE CACAO,5.5
b737a411-a47a-5f63-bcba-6e2a69683cdc,3760000000444,COCA COLA ZERO 1L,,ALIMENTAIRE,BOISSONS,SODAS,COLA,5.5
3a2f262c-cd88-54d1-8dfa-b88a312be02f,3760000000451,CREME FRAICHE 30 20CL,https://picsum.photos/seed/cream-44/640/480,ALIMENTAIRE,EPICERIE SUCREE,PATES A TARTINER,NOISETTE CACAO,5.5
46430319-088c-5978-b894-42a37e431074,3760000000468,WHISKY 40%,,ALIMENTAIRE,BOISSONS,ALCOOLS,SPIRITUEUX,20
c6c469b7-d6e2-5aa0-959c-5db44bc67421,3760000000475,DOLIP 1G CPR,https://picsum.photos/seed/medicine-46/640/480,SANTE,MEDICAMENTS,ANTALGIQUES,PARACETAMOL,2.1
1049e22f-56e4-5617-9d5f-d5219fb2e499,3760000000482,PAMPER BABY DRY 4,https://picsum.photos/seed/diapers-47/640/480,NON ALIMENTAIRE,BEBE,COUCHES,TAILLE 4,20
fafefcfc-1a3a-571c-8276-fb9c0c0f75fb,,CAFE MLU 250G PROMO,https://picsum.photos/seed/coffee-48/640/480,ALIMENTAIRE,EPICERIE SUCREE,CAFE THE,CAFE MOULU,5.5
7962ac69-b31b-5b63-80d3-b31c1fe4fadf,20000509,DETERGENT LINGE 2 L,https://picsum.photos/seed/detergent-49/640/480,NON ALIMENTAIRE,ENTRETIEN,LESSIVE,LIQUIDE,20
a7c2a670-23c5-5d22-9ada-75422f9d3740,3760000000512,POM B 1K C1,https://picsum.photos/seed/apple-50/640/480,ALIMENTAIRE,FRUITS ET LEGUMES,FRUITS,POMMES,5.5
56530341-31f2-5b20-8ec2-c4fee5ec4de8,3760000000529,TOM GRAPPE VRAC FR,https://picsum.photos/seed/tomato-51/640/480,ALIMENTAIRE,FRUITS ET LEGUMES,LEGUMES,TOMATES,5.5
4ef2815e-6009-5d64-b4b8-0765302fdec4,3760000000536,NUTELA POT 750GR,https://picsum.photos/seed/hazelnut-spread-52/640/480,ALIMENTAIRE,,PATES A TARTINER,NOISETTE CACAO,5.5
e6f20a13-b197-5ed1-a8d8-8c53cf25da22,20000547,COKA COLA ZERO 1 L,https://picsum.photos/seed/cola-53/640/480,ALIMENTAIRE,BOISSONS,SODAS,COLA,5.5
4b9cbb95-af75-51a6-b6e6-c6e203e1bab0,3760000000550,CRÈME FR. EPAISSE 20 CL,https://picsum.photos/seed/diapers-54/640/480,ALIMENTAIRE,PRODUITS FRAIS,CREMERIE,CREMES,5.5
78db0012-3cdf-5118-9fca-3a23fc0aefe9,3760000000567,WHI BTL 0.7,https://picsum.photos/seed/whisky-55/640/480,ALIMENTAIRE,BOISSONS,ALCOOLS,SPIRITUEUX,20
6d4e6e01-b3f2-5d37-af8c-38a2664a1dcc,20000578,DOLIPRANE 1000MG,https://cdn.store.example/missing/6d4e6e01-b3f2-5d37-af8c-38a2664a1dcc.jpg,SANTE,MEDICAMENTS,ANTALGIQUES,PARACETAMOL,2.1
2a328403-6d9d-50e1-bc0f-2b21936c1d51,20000585,PAMPERS BABY DRY 4,https://picsum.photos/seed/diapers-57/640/480,NON ALIMENTAIRE,,,,20
2d05febf-2b6e-58e2-ac46-5eb3a71bd9fc,20000592,CAFE MLU 250G,https://picsum.photos/seed/coffee-58/640/480,ALIMENTAIRE,EPICERIE SUCREE,CAFE THE,CAFE MOULU,2.1
656a4519-0c6c-52ea-87e8-3c8af781cbcb,3760000000604,DETERGENT LINGE 2 L,https://picsum.photos/seed/detergent-59/640/480,NON ALIMENTAIRE,,,,20
2e3cf1fd-de05-537e-958f-a0527e72aabb,3760000000611,POMMES BIO FR 1KG,https://picsum.photos/seed/apple-60/640/480,ALIMENTAIRE,FRUITS ET LEGUMES,FRUITS,POMMES,5.5
bd88feee-09c3-5f9d-a593-b4aeb0669601,31061,TOMATES GRAPPE,https://picsum.photos/seed/tomato-61/640/480,ALIMENTAIRE,FRUITS ET LEGUMES,LEGUMES,TOMATES,5.5
409f2795-4ada-5ae9-9206-060b3077d432,,NUTELLA 750G,https://picsum.photos/seed/hazelnut-spread-62/640/480,ALIMENTAIRE,EPICERIE SUCREE,PATES A TARTINER,NOISETTE CACAO,5.5
5be693a6-3197-59f9-b2a0-e6bdbd8d9716,13760000000649,COCACOLA Z 100CL,https://picsum.photos/seed/cola-63/640/480,ALIMENTAIRE,BOISSONS,SODAS,COLA,5.5
f9404d84-677f-5aec-8583-4cde286663b4,3760000000659,CR FR 20CL 30%,https://picsum.photos/seed/cream-64/640/480,ALIMENTAIRE,PRODUITS FRAIS,CREMERIE,CREMES,5.5
c594e67b-5ef9-53a4-8cfd-9b61072e77e3,3760000000666,WHISKY 40%,htp://cdn.store.example/image.jpg,ALIMENTAIRE,BOISSONS,ALCOOLS,SPIRITUEUX,20
90bbb318-2783-5d0b-9d56-d00b1b6b120e,,DOLIPRANE 1000MG,https://picsum.photos/seed/medicine-66/640/480,SANTE,MEDICAMENTS,ANTALGIQUES,PARACETAMOL,2.1
f82b6f85-c446-5cfa-920a-01eadff46ecf,3760000000680,PAMPERS T4 30U,https://picsum.photos/seed/apple-67/640/480,NON ALIMENTAIRE,BEBE,COUCHES,TAILLE 4,20
f303df76-4c52-5072-94bf-3a6d165ae54b,3760000000697,CAFE MLU 250G,https://picsum.photos/seed/coffee-68/640/480,ALIMENTAIRE,EPICERIE SUCREE,CAFE THE,CAFE MOULU,2.1
fc21c5b6-5cc3-5332-8985-25ecabde3c24,3760000000703,LESSIVE LIQ 2L,https://picsum.photos/seed/detergent-69/640/480,NON ALIMENTAIRE,ENTRETIEN,LESSIVE,LIQUIDE,20
e584d97e-a7e5-5f39-9061-b4129187147b,3760000000710,POMME GALA BIO SACH 1K,https://picsum.photos/seed/apple-70/640/480,ALIMENTAIRE,,,,5.5
84e68f9c-2e92-5b28-9e73-b850356286ef,20000721,TOMATES GRAPPEFAMILY SIZE,https://picsum.photos/seed/tomato-71/640/480,ALIMENTAIRE,FRUITS ET LEGUMES,LEGUMES,TOMATES,5.5
21480ec8-e9e5-5659-ab31-e799d1024c11,3760000000734,NUTELA 750G,https://picsum.photos/seed/hazelnut-spread-72/640/480,ALIMENTAIRE,EPICERIE SUCREE,PATES A TARTINER,NOISETTE CACAO,5.5
f3f5807f-f589-58e6-b086-9dac782cca02,13760000000748,COCACOLA Z 100CL,https://picsum.photos/seed/cola-73/640/480,ALIMENTAIRE,,,,5.5
a124a0e0-8b82-532f-bea1-a7c33a3fa8b6,3760000000758,CREM FRAICHE 0.2L FRESH PACK,https://picsum.photos/seed/cream-74/640/480,ALIMENTAIRE,PRODUITS FRAIS,CREMERIE,CREMES,5.5
03a82213-f121-5835-bd43-b443a3dc124f,3760000000765,WHISKY ECOSSAIS 70 CL,https://picsum.photos/seed/whisky-75/640/480,ALIMENTAIRE,BOISSONS,ALCOOLS,SPIRITUEUX,20
5216bb7b-26a5-5607-a319-ebcfee2af88a,3760000000772,DOLIP 1G CPR,https://picsum.photos/seed/medicine-76/640/480,SANTE,MEDICAMENTS,ANTALGIQUES,PARACETAMOL,2.1
9efcd974-867d-53b2-b1d2-a2e8d44429bb,789,COUCHES PAMP TAILLE 4,https://picsum.photos/seed/diapers-77/640/480,NON ALIMENTAIRE,BEBE,COUCHES,TAILLE 4,20
d0ae7508-db0c-585f-bf8a-db93f080f31f,20000790,CAFE MOULU ARABICA 250G,https://picsum.photos/seed/coffee-78/640/480,ALIMENTAIRE,,CAFE THE,CAFE MOULU,5.5
1de1f987-19be-5d78-9bb2-3085be6ec4b0,802,LESSIVE LIQ 2L,https://picsum.photos/seed/detergent-79/640/480,NON ALIMENTAIRE,ENTRETIEN,LESSIVE,LIQUIDE,20
2bb9b230-6d28-56f1-a053-ce5b4ee5db87,13760000000816,POMME GALA BIO SACH 1K,https://,ALIMENTAIRE,FRUITS ET LEGUMES,FRUITS,POMMES,5.5
85540ec8-f78e-5984-bd2a-846add8818ef,20000820,TOMATE GRP ORI FR,https://picsum.photos/seed/tomato-81/640/480,ALIMENTAIRE,,LEGUMES,TOMATES,5.5
0171d1a1-e41f-5526-9128-8e5c76c0e241,,NUTELLA 750G,https://picsum.photos/seed/hazelnut-spread-82/640/480,ALIMENTAIRE,EPICERIE SUCREE,PATES A TARTINER,NOISETTE CACAO,5.5
f9792ed8-c95c-5a81-9e39-01fe012c77a2,3760000000840,COCACOLA Z 100CL,https://picsum.photos/seed/cola-83/640/480,ALIMENTAIRE,BOISSONS,SODAS,COLA,5.5
862544e1-b13c-5e21-8c3e-3e01886344c1,20000851,CR FR 20C 30%,https://picsum.photos/seed/cream-84/640/480,ALIMENTAIRE,PRODUITS FRAIS,CREMERIE,CREMES,5.5
67d560b3-261f-5856-be94-195bc54fb50f,3760000000864,WHISKY 40 70CL,https://picsum.photos/seed/whisky-85/640/480,ALIMENTAIRE,BOISSONS,ALCOOLS,SPIRITUEUX,20
dd0f8040-2000-57af-b04f-cca82ff712c3,3760000000871,DOLIPRANE 1000MG,https://picsum.photos/seed/medicine-86/640/480,SANTE,MEDICAMENTS,ANTALGIQUES,PARACETAMOL,2.1
d0708fa9-6118-5f50-a653-696e1e1b7a96,3760000000888,PAMPERS BD T4,https://picsum.photos/seed/diapers-87/640/480,NON ALIMENTAIRE,BEBE,COUCHES,TAILLE 4,20
dcf0302c-275f-52e7-b485-3543576746b0,003760000000895,CAFE MLU 250G,https://picsum.photos/seed/coffee-88/640/480,ALIMENTAIRE,EPICERIE SUCREE,CAFE THE,CAFE MOULU,5.5
53996a3c-0bdb-5d3e-a179-4533e2c4c877,3760000000901,DETERGENT LINGE 2 L,,NON ALIMENTAIRE,ENTRETIEN,LESSIVE,LIQUIDE,20
51e1fa2c-c9cf-5844-90f6-5a8763b7dbdd,13760000000915,POMMES BIO FR 1KG,https://picsum.photos/seed/apple-90/640/480,ALIMENTAIRE,FRUITS ET LEGUMES,FRUITS,POMMES,5.5
8c2871d4-e1d0-5267-91e4-d4ea259167e9,13760000000922,TOMATES GRAPPE,https://cdn.store.example/missing/8c2871d4-e1d0-5267-91e4-d4ea259167e9.jpg,ALIMENTAIRE,FRUITS ET LEGUMES,LEGUMES,TOMATES,5.5
20fb9644-2e43-5325-9c21-de0abb0d6994,20000936,NUTELLA 750 G,https://picsum.photos/seed/whisky-92/640/480,ALIMENTAIRE,EPICERIE SUCREE,PATES A TARTINER,NOISETTE CACAO,5.5
b38b0252-d53a-5651-8916-ed79c20316a8,,COKA COLA ZERO 1 L,https://picsum.photos/seed/cola-93/640/480,ALIMENTAIRE,BOISSONS,SODAS,COLA,5.5
a6a981a9-eb36-52c3-903e-542f1309df2c,13760000000953,CR FR 20CL 30%,https://picsum.photos/seed/cream-94/640/480,ALIMENTAIRE,PRODUITS FRAIS,CREMERIE,CREMES,5.5
7bc0f16e-2217-5606-b901-90f4fb30caea,3760000000963,WHISKY ECOSSAIS 70 CL,https://picsum.photos/seed/whisky-95/640/480,NON ALIMENTAIRE,ENTRETIEN,LESSIVE,LIQUIDE,20
2ab317bb-b24f-598a-bb03-849c279143dd,3760000000970,DOLIP 1G CPR FRESH PACK,https://picsum.photos/seed/medicine-96/640/480,SANTE,MEDICAMENTS,ANTALGIQUES,PARACETAMOL,2.1
c9b4c62d-1942-5cd8-b633-ebcd5c4ece6d,3760000000987,PAMPER BABY DRY 4,https://picsum.photos/seed/diapers-97/640/480,NON ALIMENTAIRE,BEBE,COUCHES,TAILLE 4,20
f96fd987-a8cd-59f9-8c74-78c6c1dfb9d3,3760000000994,ARABICA MOULU 0.25KG,https://picsum.photos/seed/coffee-98/640/480,ALIMENTAIRE,BOISSONS,ALCOOLS,SPIRITUEUX,5.5
3fbd7d53-690d-5d83-a13f-0740a53316dd,3760000001007,DETERGENT LINGE 2 L,,NON ALIMENTAIRE,ENTRETIEN,LESSIVE,LIQUIDE,20
9e35217a-13cb-5cff-8372-f1d21ced91a2,00020001018,POMME GALA BIO SACH 1K,https://picsum.photos/seed/apple-100/640/480,ALIMENTAIRE,FRUITS ET LEGUMES,FRUITS,POMMES,5.5
72a5fabb-cd54-5756-bffe-1611809546b3,,TOM GRAPPE VRAC FR,https://picsum.photos/seed/tomato-101/640/480,ALIMENTAIRE,FRUITS ET LEGUMES,LEGUMES,TOMATES,5.5
646dd3fa-9114-5e74-a4c0-c37e6c489b7e,3760000001038,NUTELLA 750G,https://picsum.photos/seed/hazelnut-spread-102/640/480,ALIMENTAIRE,EPICERIE SUCREE,PATES A TARTINER,NOISETTE CACAO,5.5
02f5ef42-0e8d-520d-8e30-6df242c49bca,3760000001045,COCA Z S/SUCRE 1L,https://picsum.photos/seed/cola-103/640/480,ALIMENTAIRE,BOISSONS,SODAS,COLA,5.5
bcee2052-5396-56df-8869-41f9ef338a3c,3760000001052,CREM FRAICHE 0.2L,https://picsum.photos/seed/cream-104/640/480,ALIMENTAIRE,PRODUITS FRAIS,CREMERIE,CREMES,5.5
605d12c4-b9ed-5b7f-8e2c-e0ecaeefd7b0,,WHISKY 40 70CL PROMO,https://picsum.photos/seed/whisky-105/640/480,ALIMENTAIRE,BOISSONS,ALCOOLS,SPIRITUEUX,20
d64defd8-8f4a-5907-b95f-1a5c48ce1cf6,1076,DOLIPRANE 1000MG,https://picsum.photos/seed/medicine-106/640/480,SANTE,MEDICAMENTS,ANTALGIQUES,PARACETAMOL,2.1
e8f410c3-c852-5b14-aa8b-479ea60da447,31107,COUCHES PAMP TAILLE 4,https://picsum.photos/seed/diapers-107/640/480,NON ALIMENTAIRE,BEBE,COUCHES,TAILLE 4,20
f1bf18f4-7db4-5ec8-8df1-534a8cf8d8e7,3760000001090,CAFE MOULU ARABICA 250G,https://picsum.photos/seed/coffee-108/640/480,ALIMENTAIRE,EPICERIE SUCREE,CAFE THE,CAFE MOULU,5.5
7a35b6f0-c54e-5c1a-884e-a2e7d9b5ad30,3760000001106,DETERGENT LINGE 2 L,https://picsum.photos/seed/detergent-109/640/480,NON ALIMENTAIRE,ENTRETIEN,LESSIVE,LIQUIDE,10
d95252aa-1f3d-5160-9347-a084263b2dcc,3760000001113,POM B 1K C1,https://picsum.photos/seed/apple-110/640/480,ALIMENTAIRE,FRUITS ET LEGUMES,FRUITS,POMMES,5.5
5d951592-25ef-548b-b5aa-b9f741a4fd61,1120,TOMATE GRP ORI FR,https://picsum.photos/seed/tomato-111/640/480,ALIMENTAIRE,FRUITS ET LEGUMES,LEGUMES,TOMATES,5.5
eb17547f-80b2-5b48-8cd3-c90d4b371f1a,3760000001137,PATE TART NUTELLA 0.75KG,https://picsum.photos/seed/hazelnut-spread-112/640/480,ALIMENTAIRE,EPICERIE SUCREE,PATES A TARTINER,NOISETTE CACAO,5.5
198fc5f1-6640-5907-b244-9d466582bf32,3760000001144,COKA COLA ZERO 1 L,https://picsum.photos/seed/cola-113/640/480,ALIMENTAIRE,BOISSONS,SODAS,COLA,5.5
67444dff-7e24-514c-9e73-9f753f96d640,0003760000001151,CRÈME FR. EPAISSE 20 CL,https://picsum.photos/seed/cream-114/640/480,ALIMENTAIRE,PRODUITS FRAIS,CREMERIE,CREMES,5.5
fc7969a4-48dd-5079-97d0-ee2da3b7c496,,WHISKY BTL 0.7L,https://picsum.photos/seed/whisky-115/640/480,ALIMENTAIRE,BOISSONS,ALCOOLS,SPIRITUEUX,20
7260c7d4-ea02-5e23-adfe-d0e33276128e,3760000001175,DOLIPRANE 1 GFAMILY SIZE,https://picsum.photos/seed/medicine-116/640/480,SANTE,MEDICAMENTS,ANTALGIQUES,PARACETAMOL,2.1
0baa3a34-0fdf-5d7a-a60a-26a62caf7a29,3760000001182,COUCHES PAMP TAILLE 4,https://picsum.photos/seed/diapers-117/640/480,NON ALIMENTAIRE,BEBE,COUCHES,TAILLE 4,20
4edc6c47-7469-53e3-b06c-db37aea57d77,3760000001199,CAFE MOULU ARABICA 250G,https://cdn.store.example/missing/4edc6c47-7469-53e3-b06c-db37aea57d77.jpg,ALIMENTAIRE,EPICERIE SUCREE,CAFE THE,CAFE MOULU,5.5
2ab93843-6a56-564f-a71c-174fcc4954b2,,LESSIVE 2L FORMAT ECO,https://picsum.photos/seed/detergent-119/640/480,NON ALIMENTAIRE,ENTRETIEN,LESSIVE,LIQUIDE,20
860f1d18-f2ea-55dd-99bd-c7f483ffdca2,20001216,POM BIO 1KG CAT1 FR,https://picsum.photos/seed/apple-120/640/480,ALIMENTAIRE,BOISSONS,ALCOOLS,SPIRITUEUX,5.5
c8ccd785-61c3-5c9e-afdc-816491dc2ba9,3760000001229,TOM GRP ORI FR,https://picsum.photos/seed/tomato-121/640/480,ALIMENTAIRE,FRUITS ET LEGUMES,LEGUMES,TOMATES,5.5
a2c0da5c-f574-5dc7-b231-33c4cc3df58d,3760000001236,PATE TART NUTELLA 0.75KG,https://picsum.photos/seed/hazelnut-spread-122/640/480,ALIMENTAIRE,FRUITS ET LEGUMES,LEGUMES,TOMATES,5.5
6bf827a7-9e24-5a01-bca9-6bfb715938e7,3760000001243,COCACOLA Z 100CL,https://picsum.photos/seed/cola-123/640/480,ALIMENTAIRE,BOISSONS,SODAS,COLA,5.5
09c68c5b-3376-57f5-bd20-9da467e7d3b8,,CR FR 20CL 30%,https://picsum.photos/seed/cream-124/640/480,ALIMENTAIRE,PRODUITS FRAIS,CREMERIE,CREMES,5.5
74638e9c-fd74-50ee-83b1-a7adbc6dfef7,3760000001267,WHISKY 40 70CL,https://picsum.photos/seed/whisky-125/640/480,ALIMENTAIRE,BOISSONS,ALCOOLS,SPIRITUEUX,20
694c0032-d4d0-538b-89ef-3c8a1a6d6571,3760000001274,DOLIPRANE 1 G,,SANTE,MEDICAMENTS,ANTALGIQUES,PARACETAMOL,2.1
9cb068b5-9559-5453-ac17-71ddb223f590,3760000001281,PAMPERS T4 30U,https://picsum.photos/seed/diapers-127/640/480,NON ALIMENTAIRE,BEBE,COUCHES,TAILLE 4,20
a7f1b8f4-368a-541a-af74-fca883ae7cdb,3760000001298,ARABICA MOULU 0.25KG,https://picsum.photos/seed/coffee-128/640/480,ALIMENTAIRE,EPICERIE SUCREE,CAFE THE,CAFE MOULU,5.5
